venue,hindex
cement concrete composites,1
cement wapno beton,1
cent eur j biol,1
cent eur j math,1
centaurus,1
central european journal of engineering,4
central european journal of geosciences,2
central european journal of operations research,3
ceram int,2
cereal chem,1
cereb cortex,4
cerebellum,3
cesifo econ stud,1
cg,13
cga,6
cgames,6
cgf,13
cgi,5
cgo,2
challenge,2
challenges,1
champ psy,1
chance,1
chaos,5
chaos soliton fractal,9
chase,1
chem bio informatics journal,2
chem biodivers,1
chem biol drug des,1
chem biol inter,1
chem cent j,2
chem commun,1
chem educ res pract,1
chem eng commun,2
chem eng j,3
chem eng process,4
chem eng res des,5
chem eng sci,5
chem eng technol,2
chem erde geochemistry,1
chem geol,1
chem ind chem eng q,1
chem ing tech,1
chem nat compd,1
chem pap,1
chem pharm bull tokyo,1
chem phys,2
chem phys lett,2
chem phys lipids,3
chem res toxicol,1
chem rev,1
chem sci,1
chem senses,2
chem soc rev,1
cheminform,1
chemmedchem,1
chemometr intell lab syst,7
chemosens percept,1
chemosphere,3
chemphyschem,1
ches,1
chest,1
chi,8
child abuse neglect,1
child adolesc psychiatr clin,1
child care health develop,1
child care in practice,1
child develop,2
child development perspectives,1
child indic res,1
child neuropsychol,1
chin ann math ser b,1
chin geogr sci,2
chin j aeronaut,6
chin j chem phys,1
chin j integr med,3
chin j mech eng,3
chin j oceanol limnol,1
chin med,1
chin phys b,1
chin phys lett,1
chin sci bull,7
china communications,2
china econ rev,1
china ocean eng,4
china world econ,1
chinese j anal chem,1
chinese j astron astrophys,1
chinese j chem eng,4
chinese journal of communication,1
chinese journal of computers,6
chinese journal of eco agriculture,1
chinese journal of geochemistry,1
chinese journal of physiology,1
chinese management studies,2
chinz,2
chir main,1
chiropractic osteopathy,1
chirurg,1
chirurgie,1
chromatographia,1
chronobiol int,1
ci,31
cia,8
ciac,3
ciarp,10
cib,3
cibb,3
cibcb,5
cic,3
cicc,2
cicling,13
cicsyn,1
cidm,9
cidr,4
cie,5
cienc agrotec,1
cig,9
cikm,16
cimca,6
cin comput inform nurs,1
cir espan,1
cira,7
circ arrhythmia electrophysio,1
circ cardiovasc imaging,1
circ cardiovasc interv,1
circ cardiovasc qual outcomes,1
circ res,1
circ syst signal process,11
circuit world,2
circuits and systems,1
circuits and systems ii analog and digital signal processing ieee transactions on,7
circulation,1
cirp ann manuf technol,5
cirp journal of manufacturing science and technology,3
cis,8
cisim,3
ciss,5
cisse,5
cit,9
cita,3
cities,2
city community,1
civ eng environ syst,3
civr,14
cj,7
cl,28
cla,3
clade,1
cladistics,1
class quantum gravity,1
clean soil air water,2
clean technol environ policy,2
clef,9
cleft palate craniofac j,1
clei electronic journal,3
clim dynam,2
clim past,1
clim policy,1
climate res,1
climatic change,3
clin,4
clin auton res,1
clin biochem,1
clin biomech,3
clin cancer res,1
clin chem,2
clin chem lab med,2
clin chest med,1
clin chim acta,2
clin dev immunol,1
clin eeg neurosci,1
clin endocrinol,1
clin exp med,1
clin exp ophthalmol,1
clin exp optom,1
clin gastroenterol hepatol,1
clin imag,2
clin infect dis,1
clin j pain,1
clin lab med,2
clin linguist phonet,1
clin med,1
clin neurophysiol,5
clin neuropsychol,1
clin nurse spec,1
clin oncol uk,1
clin oral implant res,1
clin oral investig,1
clin perinatol,1
clin pharmacokinet,1
clin pharmacol ther,1
clin physiol,1
clin physiol funct imaging,1
clin plast surg,1
clin psychol rev,2
clin psychol sci practice,1
clin sci,1
clin ther,1
clin transl oncol,1
clin trials,1
clin vaccine immunol,1
clinical and translational science,1
clinical chiropractic,1
clinical interventions in aging,1
clinical ophthalmology,1
clinical physics and physiological measurement,1
clinical proteomics,1
clinics,1
closer,1
cloud,4
cloudcom,5
cluster,5
cmc,4
cmes comput model eng sci,2
cmmr,5
cmot,7
cmpb,9
cmsb,3
cn,2
cns,1
cns drugs,1
cns spectr,1
cnsm,2
cnsr,2
coast eng,2
coast eng j,1
cochrane database syst rev,1
cocoa,3
cocoon,5
codesign,1
cog psychol,6
cogn affect behav neurosci,4
cogn behav neurol,1
cogn behav pract,1
cogn neurodynamics,9
cogn process,7
cognition,9
cognition emotion,2
cognition instruct,3
cognition technology work,3
cognitive brain res,3
cognitive computation,13
cognitive develop,3
cognitive linguistics,1
cognitive neuropsychiatry,1
cognitive neuropsychol,3
cognitive neuroscience journal of,5
cognitive semiotics,1
cognitive systems research,14
cognitive ther res,1
cogsci,12
cold reg sci technol,3
cold spring harbor perspectives in biology,1
cold spring harbor symp,1
coli,29
coling,29
colis,1
collaboratecom,4
college undergraduate libraries,1
collegian,1
colloid polym sci,1
colloid surface a,2
colloid surface b,1
coloproctology,1
color res appl,2
color technol,2
colt,25
comad,3
combinatorica,2
combust sci technol,1
combust theory model,1
comcom,6
comgeo,4
comma,7
commun algebra,1
commun comput phys,2
commun math phys,1
commun monogr,1
commun nonlinear sci numer si,8
commun pure appl anal,1
commun pure appl math,1
commun res,2
commun soil sci plant anal,1
commun statist theor method,3
communication methods and measures,1
communication quarterly,1
communication research reports,1
communication teacher,1
communication theory,1
communications,1
communications and network,2
communications in analysis and geometry,1
communications in numerical methods in engineering,2
communications of the korean mathematical society,1
communications strategies,1
communicative integrative biology,1
community dent oral epidemiol,1
community ecol,2
comp biochem physiol pt a,1
comp biochem physiol pt c,1
compar funct genom,2
comparative cognition behavior reviews,1
competitive intelligence review,1
competitiveness review an international business journal,1
complement ther med,1
complex anal oper theory,1
complex systems,1
complexity,3
complexus,1
components packaging and manufacturing technology ieee transactions on,2
components packaging and manufacturing technology part a ieee transactions on,2
compos part a appl sci manuf,2
compos part b eng,2
compos struct,2
composites sci technol,2
compr psychiat,1
comprehensive physiology,1
compsac,6
compsec,6
compsystech,4
comput aided civil infrastr e,6
comput aided surg,4
comput animat virtual worlds,7
comput appl eng educ,2
comput appl math,3
comput assist lang learn,3
comput biol med,7
comput biomed res,5
comput econ,7
comput electron agric,8
comput fluids,3
comput geosci,7
comput geotech,3
comput hum,5
comput hum behav,8
comput ind eng,11
comput lang,3
comput mater sci,2
comput math appl,12
comput math math phys engl tr,3
comput math method med,8
comput med imaging graph,10
comput method appl mech eng,4
comput music j,4
comput netw,6
comput optim appl,8
comput struct,5
computat geosci,4
computation mech,2
computation stat,6
computational intelligence and neuroscience,13
computational management science,5
computational mathematics and modeling,2
computational science discovery,2
computational science engineering ieee,3
compute,5
computer,5
computer aided design and applications,4
computer aided engineering journal,2
computer fraud security,1
computer graphics,4
computer integrated manufacturing systems,4
computer law security report,1
computer law security review,2
computer methods in the geosciences,1
computer physics communications,4
computer programs in biomedicine,1
computer science,3
computer science education,2
computer science research and development,4
computer science review,8
computer speech language,39
computers and composition,1
computers environment and urban systems,5
computers in industry,10
computers urban society,1
computing,6
computing and visualization in science,5
computing systems in engineering,3
comsis,6
comsnets,3
comsur,4
comsware,2
comunicar,1
concepts magn reson part a,1
concepts magn reson part b,1
concur,2
concurrency,7
concurrent engineering,3
condensed matter physics,1
condor,1
conext,3
configurations,1
conielecomp,3
connection,10
conscious cogn,4
conserv biol,2
conservation letters,1
constitutional political economy,1
constr approx,3
constr build mater,3
constraints,17
construction innovation,2
construction management and economics,2
constructivist foundations,4
consumption markets culture,1
cont shelf res,2
contagion journal of violence mimesis and culture,1
contemp account res,2
contemp clin trials,1
contemp economic policy,1
contemp educ psychol,1
contemp phys,1
contemporary hypnosis,1
contemporary music review,1
continent,1
continental philosophy review,1
continuum mech thermodyn,1
contr clin trial,1
contrib plasm phys,1
contrib zool,1
control and cybernetics,6
control and intelligent systems,6
control eng practice,9
control systems ieee,8
control theory applications iet,9
controlling management,1
convergence,2
coop,1
coopis,6
coord chem rev,1
coordination,3
cor,10
coral reef,1
cores,4
cornell hosp q,1
cornell hotel restaur admin q,2
corpora,2
corporate communications an international journal,1
corporate governance,1
corporate reputation review,1
corporate social responsibility and environmental management,1
corpus linguist linguist theo,2
corr,17
corros sci,2
corrosion,2
cortex,3
cosit,8
cosm res,1
cp,14
cpa,1
cpaior,8
cpc,3
cpm,4
creativ innovat manag,2
creative education,2
cretaceous res,1
crime law social change,1
crisis,1
crit care,1
crit care med,1
crit rev anal chem,1
crit rev biomed eng,2
crit rev biotechnol,1
crit rev diagn imag,1
crit rev environ sci technol,1
crit rev food sci nutr,1
crit rev plant sci,1
crit rev toxicol,1
crit stud media comm,1
critical perspectives on accounting,1
critical perspectives on international business,1
critique studies in contemporary fiction,1
critis,2
croat chem acta,1
croat med j,1
croatian journal of philosophy,1
crop prot,1
crop sci,1
cross cult res,1
crv,13
cryobiology,1
cryogenics,1
cryosphere discussions,1
crypto,1
cryptography and communications,1
cryptologia,1
crystallogr rep,1
cs da,10
csa,4
csb,5
csc,7
cscl,1
cscw,6
cscwd,5
cse,7
csedu,2
csh protocols,1
csi,8
csie,6
csjm,1
csl,7
cslp,4
csmr,3
cso,4
csr,4
cssc,4
csse,6
csur,30
cswws,2
csys,1
ctic,2
cts,5
ctw,1
cuadernos de economia y direccion de la empresa,2
cult anthropol,1
cult med psychiat,1
cult psychol,1
cult stud,1
cultural critique,1
cultural studies of science education,1
culture and organization,1
culture theory and critique,1
curr allergy asthma rep,1
curr alzheimer res,1
curr anthropol,1
curr appl phys,1
curr bioinform,2
curr biol,4
curr diabetes rep,1
curr directions psychol sci,1
curr eye res,1
curr genomics,2
curr med imaging rev,1
curr med res opin,1
curr medicinal chem,2
curr mol med,1
curr opin biotechnol,1
curr opin chem biol,1
curr opin gastroen,1
curr opin genet develop,1
curr opin microbiol,3
curr opin neurobiol,8
curr opin neurol,1
curr opin pediatr,1
curr opin plant biol,2
curr opin rheumatol,1
curr opin struct biol,1
curr opin urol,1
curr osteoporos rep,1
curr pharm design,2
curr protein pept sci,2
curr psychol,2
curr top develop biol,2
curr top med chem,1
current gerontology and geriatrics research,1
current issues in language planning,1
current issues in tourism,1
current oncology reports,1
current problems in diagnostic radiology,1
current psychological reviews,1
current respiratory medicine reviews,1
cutan ocul toxicol,1
cuza,2
cvgip,12
cvgip image understanding,8
cviu,56
cvpr,44
cw,7
cyberc,4
cybern syst anal engl tr,5
cybernetics and systems,7
cyberpsychology behavior and social networking,2
cys,5
cyta journal of food,1
cytometry,2
cytometry part a,3
cytometry part b clin cytom,1
cytoskeleton,1
cytotechnology,1
czech j phys,1
czech journal of food sciences,1
daarc,7
dac,5
daffodil international university journal of science and technology,1
dairy sci technol,1
dais,3
dalt,9
dalton trans,1
dam,9
damon,1
dars,7
daru journal of faculty of pharmacy,1
das,12
dasfaa,7
data,2
database,4
datamine,17
datascience,3
date,4
dawak,6
dbisp2p,1
dbkda,1
dbpl,2
dbsk,4
dbta,3
dc,3
dcai,4
dcc,5
dcg,3
dcoss,3
ddecs,2
de economist,1
debs,4
debu,4
decis anal,5
decision sciences journal of innovative education,2
deds,5
deep sea res pt i oceanog res,1
defence sci j,3
delta,3
dement geriatr cogn disord,1
dementia,1
demogr res,1
demography,1
dendrochronologia,1
dental clinics,1
dental press journal of orthodontics,1
dentomaxillofac radiol,1
deon,7
depress anxiety,1
der kardiologe,1
der markt,2
dermatology,1
des autom embed syst,1
desalin water treat,2
desalination,2
design issues,1
design stud,5
dev cell,2
dev genes evol,1
dev neurobiol,1
dev psychopathol,1
dev sci,3
develop biol,1
develop med child neurol,1
develop neuropsychol,1
develop neurosci,1
develop psychobiol,1
develop psychol,1
develop rev,3
development,2
developmental neurorehabilitation,1
developments in chemical engineering and mineral processing,1
developments in environmental modelling,3
developments in integrated environmental assessment,3
developments in petroleum science,2
developments in quaternary science,1
dexa,7
dfma,2
dft,3
dgci,7
diabetes,1
diabetes res clin pract,1
diabetes technol ther,1
diabetes therapy,1
diabetes vasc dis res,1
diabetic med,1
diabetologia,1
diachronica,1
diagn microbiol infect dis,1
diagn pathol,4
diagnostic and therapeutic endoscopy,1
diagnostic histopathology,1
dialectica,1
dialectical anthropology,1
dicta,14
dictap,3
didactica,1
didaskalia,1
differences,1
differential equations,1
differential equations and dynamical systems,4
differential geom appl,2
dig liver dis,1
digest dis sci,1
digit creat,3
digital investigation,4
digital signal processing,13
digitel,2
dilemata,1
dils,3
dim,10
dimea,3
dimensions of critical care nursing,1
direct marketing an international journal,1
dis,4
dis colon rectum,2
dis manag health outcomes,1
dis model mech,1
disabil rehabil,1
disabil rehabil assist technol,3
disaster prev manag,1
disasters,1
disc,2
discourse process,5
discourse stud,2
discrete contin dyn sys ser b,2
discrete contin dyn syst,2
discrete dyn nat soc,8
discrete optimization,3
disease markers,1
displays,3
distance educ,1
divers distrib,1
diversity,1
dke,2
dlib,2
dls,2
dlt,3
dm,3
dmo,5
dms,2
dmsn,2
dmtcs,2
dna cell biol,1
dna repair,1
dna res,1
dnis,3
doboku gakkai ronbunshuu d,1
doc ophthalmol,1
doceis,4
doceng,6
documenta praehistorica,1
documentaliste sciences de l information,1
dokl biochem biophys,1
dokl chem,1
dokl math,1
dokl phys,1
dolap,3
donald school journal of ultrasound in obstetrics gynecology,1
dpd,4
dppi,1
drcn,1
drinking water engineering and science,1
drr,5
drug alcohol dependence,2
drug design and discovery,1
drug develop ind pharm,1
drug develop res,1
drug discov today,4
drug discovery today biosilico,2
drug discovery today technologies,1
drug metab disposition,1
drug metab pharmacokinet,1
drug safety,1
drugs today,1
dry technol,2
ds,12
dsd,2
dsn,4
dsom,3
dsonline,2
dss,69
